px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.2543	16.3826	4.67238	2.09356	0.571829	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.693224	L
19.1366	16.5793	4.6655	2.12319	0.574948	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.2744	R
19.0062	16.7893	4.6877	2.15189	0.574357	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.139207	L
18.8489	16.9813	4.70207	2.21248	0.643624	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.48933	R
18.6749	17.2162	4.79154	2.24715	0.644059	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.84446	L
18.5733	17.421	4.77165	2.22898	0.543693	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.12927	R
18.3594	17.6127	4.83283	2.27634	0.563378	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.83137	L
18.2233	17.8045	4.8236	2.27836	0.508956	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.32441	R
18.092	17.9907	4.80538	2.29425	0.499392	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.905495	L
17.9161	18.1453	4.79036	2.33859	0.536428	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.03341	R
17.7853	18.2879	4.72096	2.35997	0.532254	17.9017	18.2183	17.8026	18.3994	-3.3385	3.45199	1.0986	L
17.6521	18.4691	4.70476	2.36669	0.502873	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.63738	R
17.4576	18.6508	4.75233	2.39442	0.504584	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.488055	L
17.2769	18.7918	4.73691	2.43021	0.524198	17.7945	18.0801	17.2811	18.8962	-3.61271	3.16817	1.78185	R
17.1157	18.9285	4.69799	2.45463	0.523099	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.324538	L
16.9485	19.0988	4.70589	2.46632	0.500931	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.02617	R
16.7315	19.2146	4.70833	2.50698	0.517278	16.5734	19.052	16.7202	19.3488	-3.86278	2.86455	2.71721	L
16.5413	19.3678	4.72638	2.53119	0.51995	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75937	3.24368	R
16.3161	19.5292	4.79057	2.55682	0.51822	16.2338	19.617	16.3262	19.6246	-4.01531	2.65237	0.864563	L
