px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.5522	-13.2776	-2.55464	-0.077435	-1.24571	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.6182	L
7.40993	-13.2577	-2.55078	-0.146072	-1.24166	7.21107	-13.0985	7.3	-13.25	-2.72846	0	0.750048	R
7.25172	-13.2367	-2.57839	-0.213977	-1.23749	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.456846	L
7.10249	-13.1715	-2.63565	-0.317851	-1.29645	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.73458	R
6.95436	-13.1349	-2.66931	-0.377171	-1.28669	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.62364	L
6.82256	-13.0872	-2.65867	-0.437172	-1.27236	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.326052	R
6.66496	-13.0353	-2.69482	-0.494438	-1.25562	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.712158	L
6.56065	-13.0079	-2.57691	-0.509378	-1.17146	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.0837	R
6.39809	-12.9664	-2.62432	-0.544397	-1.13762	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.53432	L
6.28043	-12.9114	-2.58149	-0.582431	-1.10119	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.82085	R
6.1112	-12.8653	-2.63637	-0.605249	-1.05917	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	2.1204	L
5.98371	-12.752	-2.74304	-0.693725	-1.11685	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.99485	R
5.82671	-12.6891	-2.7954	-0.714353	-1.07778	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.95153	L
5.72268	-12.6242	-2.69065	-0.73575	-1.01756	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.19952	R
5.56716	-12.5581	-2.72574	-0.751252	-0.975215	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.55838	L
5.44927	-12.4418	-2.76933	-0.812199	-0.988749	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.03656	R
5.28644	-12.3696	-2.80786	-0.817042	-0.937389	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.11516	L
5.18113	-12.2746	-2.77197	-0.851452	-0.913967	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.07099	R
5.03923	-12.1857	-2.79629	-0.865993	-0.877244	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.01111	L
4.9429	-12.0729	-2.81045	-0.908741	-0.876064	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.443454	R
4.82707	-11.9866	-2.82029	-0.923588	-0.846862	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.678871	L
4.7323	-11.8582	-2.83692	-0.970953	-0.849656	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.183738	R
4.64535	-11.7309	-2.83597	-1.01514	-0.847146	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.00997511	L
4.58341	-11.626	-2.73149	-1.0516	-0.828666	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.52746	R
4.5172	-11.5057	-2.71745	-1.09515	-0.827567	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.274206	L
4.41631	-11.3295	-2.93771	-1.14269	-0.844339	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	25.2109	R
4.38303	-11.1822	-2.93283	-1.20469	-0.864795	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.276267	L
4.37605	-11.0586	-2.78197	-1.27256	-0.886402	4.43713	-11.024	4.45	-11.05	0	1.81614	11.5079	R
4.36547	-10.9078	-2.76803	-1.34204	-0.908566	4.45136	-10.93	4.45	-10.95	0	1.81612	0.463297	L
4.34392	-10.7602	-2.75753	-1.39813	-0.915554	4.44745	-10.786	4.45	-10.8	0	2.72555	0.141384	R
4.35697	-10.609	-2.74371	-1.47233	-0.941056	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.667792	L
4.35618	-10.464	-2.72946	-1.53069	-0.949367	4.46329	-10.5756	4.45	-10.5	0	2.729	0.312453	R
4.37625	-10.3141	-2.72356	-1.59815	-0.965541	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.272482	L
4.40107	-10.1687	-2.70666	-1.66522	-0.98296	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.361425	R
4.45233	-10.0196	-2.70509	-1.74296	-1.00737	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.584684	L
4.48256	-9.87571	-2.7096	-1.79552	-1.00185	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.427556	R
4.54879	-9.73064	-2.71311	-1.87121	-1.02255	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.479409	L
4.56163	-9.57629	-2.74716	-1.88651	-0.965062	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.09406	R
4.64375	-9.43465	-2.75411	-1.96135	-0.986326	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.637163	L
4.71906	-9.30049	-2.75222	-2.02684	-0.999092	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.458955	R
4.82668	-9.15869	-2.77741	-2.10603	-1.02119	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.886862	L
4.90897	-9.03913	-2.78269	-2.16511	-1.0313	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.123797	R
5.00024	-8.92889	-2.78515	-2.22366	-1.03783	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.115592	L
5.07043	-8.80392	-2.78123	-2.24483	-0.983968	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.75096	R
5.19018	-8.67732	-2.80739	-2.30894	-0.991225	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.444953	L
5.28981	-8.57459	-2.81122	-2.35827	-0.989129	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.09703	R
5.40339	-8.46898	-2.83067	-2.41127	-0.990693	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.208205	L
5.49092	-8.35839	-2.81107	-2.42468	-0.927878	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.18536	R
5.59689	-8.25829	-2.80125	-2.46894	-0.922481	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.195313	L
5.67339	-8.13736	-2.77697	-2.45719	-0.828302	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.48856	R
5.80559	-8.02735	-2.80452	-2.50143	-0.824633	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.393084	L
5.90027	-7.91454	-2.78713	-2.50047	-0.752705	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	2.71869	R
6.03267	-7.80858	-2.81103	-2.5377	-0.746897	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.334187	L
6.12465	-7.69501	-2.78465	-2.52393	-0.660855	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	3.91	R
6.25315	-7.59631	-2.79799	-2.55549	-0.655443	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.154646	L
